Country,Year,total_population,net_migration
Afghanistan,2023,42239854,65846
Afghanistan,2022,41128771,65846
Afghanistan,2021,40099462,183672
Afghanistan,2020,38972230,166821
Afghanistan,2019,37769499,8082
Afghanistan,2018,36686784,47205
Afghanistan,2017,35643418,47090
Afghanistan,2016,34636207,90238
Afghanistan,2015,33753499,281739
Afghanistan,2014,32716210,255611
Afghanistan,2013,31541209,48076
Afghanistan,2012,30466479,105905
Afghanistan,2011,29249157,418796
Afghanistan,2010,28189672,141355
Afghanistan,2009,27385307,58881
Afghanistan,2008,26427199,221000
Afghanistan,2007,25903301,942887
Afghanistan,2006,25442944,62684
Afghanistan,2005,24411191,252185
Afghanistan,2004,23553551,248616
Afghanistan,2003,22645130,388632
Afghanistan,2002,21000256,1327074
Afghanistan,2001,19688632,192286
Afghanistan,2000,19542982,1007135
Afghanistan,1999,19262847,85758
Afghanistan,1998,18493132,35740
Afghanistan,1997,17788819,6129
Afghanistan,1996,17106595,27194
Afghanistan,1995,16418912,71824
Afghanistan,1994,15455555,665410
Afghanistan,1993,14003760,1171818
Afghanistan,1992,12057433,1834556
Afghanistan,1991,10745167,39926
Afghanistan,1990,10694796,666001
Afghanistan,1989,10673168,2683
Afghanistan,1988,10383460,89837
Afghanistan,1987,10322758,402606
Afghanistan,1986,10448442,427073
Afghanistan,1985,10512221,210572
Afghanistan,1984,10243686,322022
Afghanistan,1983,9951449,192869
Afghanistan,1982,10088289,586943
Afghanistan,1981,11155195,2127145
Afghanistan,1980,12486631,1205401
Afghanistan,1979,12986369,481199
Afghanistan,1978,12938862,117186
Afghanistan,1977,12687301,83115
Afghanistan,1976,12425267,85430
Afghanistan,1975,12157386,44418
Afghanistan,1974,11869879,20009
Afghanistan,1973,11575305,3030
Afghanistan,1972,11286753,4050
Afghanistan,1971,11015857,12801
Afghanistan,1970,10752971,4458
Afghanistan,1969,10494489,2029
Afghanistan,1968,10247780,3333
Afghanistan,1967,10010030,6824
Afghanistan,1966,9783147,3563
Afghanistan,1965,9565147,10695
Afghanistan,1964,9355514,7079
Afghanistan,1963,9157465,6681
Afghanistan,1962,8969047,7016
Afghanistan,1961,8790140,6109
Afghanistan,1960,8622466,2606
Bangladesh,2023,172954319,309977
Bangladesh,2022,171186372,309977
Bangladesh,2021,169356251,174500
Bangladesh,2020,167420951,61154
Bangladesh,2019,165516222,344054
Bangladesh,2018,163683958,323380
Bangladesh,2017,161793964,175755
Bangladesh,2016,159784568,55013
Bangladesh,2015,157830000,286512
Bangladesh,2014,155961299,219628
Bangladesh,2013,154030139,194048
Bangladesh,2012,152090649,242022
Bangladesh,2011,150211005,341152
Bangladesh,2010,148391139,462265
Bangladesh,2009,146706810,740788
Bangladesh,2008,145421318,1390782
Bangladesh,2007,144135934,923456
Bangladesh,2006,142628831,1146688
Bangladesh,2005,140912590,715970
Bangladesh,2004,138789725,535175
Bangladesh,2003,136503206,533925
Bangladesh,2002,134139826,451611
Bangladesh,2001,131670484,347605
Bangladesh,2000,129193327,424718
Bangladesh,1999,126754824,435710
Bangladesh,1998,124350471,407859
Bangladesh,1997,122039226,390261
Bangladesh,1996,119876868,389040
Bangladesh,1995,117793338,374788
Bangladesh,1994,115614891,214321
Bangladesh,1993,113418757,271146
Bangladesh,1992,111272102,265940
Bangladesh,1991,109242834,386852
Bangladesh,1990,107147651,200144
Bangladesh,1989,104893674,285369
Bangladesh,1988,102688833,319331
Bangladesh,1987,100490256,369057
Bangladesh,1986,98271746,344929
Bangladesh,1985,95959099,204954
Bangladesh,1984,93534239,137861
Bangladesh,1983,91045478,52640
Bangladesh,1982,88555336,129194
Bangladesh,1981,86154836,194707
Bangladesh,1980,83929765,369408
Bangladesh,1979,81908151,495624
Bangladesh,1978,80007550,503563
Bangladesh,1977,78137788,472837
Bangladesh,1976,76380080,635891
Bangladesh,1975,74700345,499347
Bangladesh,1974,72947807,349410
Bangladesh,1973,71144818,320793
Bangladesh,1972,69346705,331901
Bangladesh,1971,68376204,289989
Bangladesh,1970,67541860,193149
Bangladesh,1969,65866908,132422
Bangladesh,1968,63995652,15936
Bangladesh,1967,62104488,23163
Bangladesh,1966,60265259,3756
Bangladesh,1965,58500159,47618
Bangladesh,1964,56774465,25430
Bangladesh,1963,55094115,23215
Bangladesh,1962,53461661,26541
Bangladesh,1961,51882769,26505
Bangladesh,1960,50396429,13584
India,2023,1428627663,486136
India,2022,1417173173,487303
India,2021,1407563842,301970
India,2020,1396387127,34772
India,2019,1383112050,593495
India,2018,1369003306,561563
India,2017,1354195680,219656
India,2016,1338636340,68119
India,2015,1322866505,475094
India,2014,1307246509,310694
India,2013,1291132063,236387
India,2012,1274487215,180991
India,2011,1257621191,244114
India,2010,1240613620,380087
India,2009,1223640160,803437
India,2008,1206734806,846785
India,2007,1189691809,769184
India,2006,1172373788,678231
India,2005,1154638713,550186
India,2004,1136264583,214351
India,2003,1117415123,255516
India,2002,1098313039,208070
India,2001,1078970907,177306
India,2000,1059633675,149966
India,1999,1040500054,106592
India,1998,1021434576,28485
India,1997,1002335230,1240
India,1996,983281218,26079
India,1995,964279129,57139
India,1994,945261958,110095
India,1993,926351297,2440
India,1992,907574049,8198
India,1991,888941756,158007
India,1990,870452165,108465
India,1989,852012673,13987
India,1988,833729681,103742
India,1987,815716125,232178
India,1986,797878993,258917
India,1985,780242084,112781
India,1984,762895156,57788
India,1983,745826546,46174
India,1982,729169466,26106
India,1981,712869298,23662
India,1980,696828385,202323
India,1979,681248383,68198
India,1978,666267760,13841
India,1977,651685628,31092
India,1976,637451448,436104
India,1975,623524219,225989
India,1974,609721951,168162
India,1973,596107483,62763
India,1972,582837973,60291
India,1971,569999178,220417
India,1970,557501301,45792
India,1969,545314670,171683
India,1968,533431909,184326
India,1967,521987069,124336
India,1966,510992617,144807
India,1965,500114346,19077
India,1964,489059309,5837
India,1963,477933619,48986
India,1962,467024193,110398
India,1961,456351876,114181
India,1960,445954579,52264
Sri Lanka,2023,22037000,77495
Sri Lanka,2022,22181000,77495
Sri Lanka,2021,22156000,92400
Sri Lanka,2020,21919000,92400
Sri Lanka,2019,21803000,94897
Sri Lanka,2018,21670000,97100
Sri Lanka,2017,21506813,98598
Sri Lanka,2016,21425494,98896
Sri Lanka,2015,21336697,98598
Sri Lanka,2014,21239457,97807
Sri Lanka,2013,21131756,97189
Sri Lanka,2012,21017147,97095
Sri Lanka,2011,20859743,13277
Sri Lanka,2010,20668557,26603
Sri Lanka,2009,20482477,5484
Sri Lanka,2008,20285643,11557
Sri Lanka,2007,20078655,19572
Sri Lanka,2006,19870706,23795
Sri Lanka,2005,19673866,36955
Sri Lanka,2004,19490431,1028
Sri Lanka,2003,19303180,20932
Sri Lanka,2002,19110707,20309
Sri Lanka,2001,18920275,15604
Sri Lanka,2000,18776371,91900
Sri Lanka,1999,18670411,92896
Sri Lanka,1998,18560798,92990
Sri Lanka,1997,18449123,90691
Sri Lanka,1996,18322506,83689
Sri Lanka,1995,18177572,73695
Sri Lanka,1994,18011744,63104
Sri Lanka,1993,17825611,54206
Sri Lanka,1992,17624457,48501
Sri Lanka,1991,17416596,42400
Sri Lanka,1990,17204094,36199
Sri Lanka,1989,16990575,30997
Sri Lanka,1988,16773736,27896
Sri Lanka,1987,16547139,28905
Sri Lanka,1986,16317995,38793
Sri Lanka,1985,16092338,53596
Sri Lanka,1984,15872577,68489
Sri Lanka,1983,15658442,78295
Sri Lanka,1982,15438753,78992
Sri Lanka,1981,15198918,74202
Sri Lanka,1980,14943645,66398
Sri Lanka,1979,14680387,57696
Sri Lanka,1978,14414816,50197
Sri Lanka,1977,14159052,45398
Sri Lanka,1976,13910170,41298
Sri Lanka,1975,13662873,37505
Sri Lanka,1974,13418276,33995
Sri Lanka,1973,13169737,30602
Sri Lanka,1972,12914457,27097
Sri Lanka,1971,12654651,22014
Sri Lanka,1970,12388769,16297
Sri Lanka,1969,12119207,11304
Sri Lanka,1968,11846815,8198
Sri Lanka,1967,11571008,7693
Sri Lanka,1966,11299721,7899
Sri Lanka,1965,11035224,8295
Sri Lanka,1964,10774086,8695
Sri Lanka,1963,10517531,9202
Sri Lanka,1962,10267067,9899
Sri Lanka,1961,10022888,11097
Sri Lanka,1960,9783871,12606
Pakistan,2023,240485658,165988
Pakistan,2022,235824862,165988
Pakistan,2021,231402117,471395
Pakistan,2020,227196741,588736
Pakistan,2019,223293280,1177218
Pakistan,2018,219731479,1309609
Pakistan,2017,216379655,1574581
Pakistan,2016,213524840,2290411
Pakistan,2015,210969298,2172159
Pakistan,2014,208251628,2037911
Pakistan,2013,205337562,1906315
Pakistan,2012,202205861,1647986
Pakistan,2011,198602738,890633
Pakistan,2010,194454498,431891
Pakistan,2009,190123222,338507
Pakistan,2008,185931955,525915
Pakistan,2007,181924521,563471
Pakistan,2006,178069984,628923
Pakistan,2005,174372098,632467
Pakistan,2004,170648620,524871
Pakistan,2003,166876680,578225
Pakistan,2002,163262807,834546
Pakistan,2001,159217727,344288
Pakistan,2000,154369924,940739
Pakistan,1999,149694462,148403
Pakistan,1998,145476106,148849
Pakistan,1997,141330267,151546
Pakistan,1996,137234810,147987
Pakistan,1995,133117476,296208
Pakistan,1994,129245139,276644
Pakistan,1993,125546615,278
Pakistan,1992,122375179,1320633
Pakistan,1991,119203569,6127
Pakistan,1990,115414069,30184
Pakistan,1989,111670386,68004
Pakistan,1988,107967838,148304
Pakistan,1987,104251093,326899
Pakistan,1986,100618523,199664
Pakistan,1985,97121552,282435
Pakistan,1984,94003867,351354
Pakistan,1983,91080372,73873
Pakistan,1982,87828198,552153
Pakistan,1981,84270202,997103
Pakistan,1980,80624057,1078233
Pakistan,1979,77407341,450001
Pakistan,1978,74789330,110097
Pakistan,1977,72451105,84000
Pakistan,1976,70230923,47154
Pakistan,1975,68126999,3437
Pakistan,1974,66149169,69596
Pakistan,1973,64285624,116081
Pakistan,1972,62509565,138485
Pakistan,1971,60878781,136808
Pakistan,1970,59290872,116631
Pakistan,1969,57676805,114875
Pakistan,1968,56124743,117510
Pakistan,1967,54629793,119938
Pakistan,1966,53199414,122151
Pakistan,1965,51841626,124241
Pakistan,1964,50552592,126712
Pakistan,1963,49325050,129202
Pakistan,1962,48161841,131607
Pakistan,1961,47060915,133982
Pakistan,1960,45954226,0
